Population,Sample,Lon,Lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
NBG,NBG19B,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG20,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG21,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG22,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG23B,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG24,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG25,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG26,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG27B,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG28,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG29,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBG,NBG30,148.07,-32.88,174,130,45,5665,326,39,287,241,100,246,100,566,68,32,19,170,119,169,119
NBJ,NBJ01,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ02,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ03,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ05,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
