"","Population","Sample","Lon","Lat"
"149","NCD","NCD19",147.07,-32.91
"150","NCD","NCD20",147.07,-32.91
"151","NCD","NCD21",147.07,-32.91
"152","NCD","NCD22",147.07,-32.91
"153","NCD","NCD23",147.07,-32.91
"154","NCD","NCD25",147.07,-32.91
"155","NCD","NCD26",147.07,-32.91
"156","NCD","NCD27",147.07,-32.91
"157","NCD","NCD29",147.07,-32.91
"158","NCD","NCD30",147.07,-32.91
"159","NCN","NCN01",146.34,-35.74
"160","NCN","NCN02",146.34,-35.74
"161","NCN","NCN04",146.34,-35.74
"162","NCN","NCN08",146.34,-35.74
"163","NCN","NCN09",146.34,-35.74
"164","NCN","NCN10",146.34,-35.74
"165","NCN","NCN11",146.34,-35.74
"166","NCN","NCN12",146.34,-35.74
"167","NCN","NCN13",146.34,-35.74
"168","NCN","NCN14",146.34,-35.74
"169","NCN","NCN15",146.34,-35.74
"170","NCN","NCN16",146.34,-35.74
"171","NCN","NCN17",146.34,-35.74
"172","NCN","NCN18",146.34,-35.74
"173","NCN","NCN20",146.34,-35.74
"174","NCN","NCN21",146.34,-35.74
"175","NCN","NCN22",146.34,-35.74
"176","NCN","NCN24",146.34,-35.74
"177","NCN","NCN25",146.34,-35.74
"178","NCN","NCN26",146.34,-35.74
"179","NCN","NCN27",146.34,-35.74
"180","NCN","NCN28",146.34,-35.74
"181","NCN","NCN29",146.34,-35.74
"182","NCN","NCN30",146.34,-35.74
"183","NCR","NCR01",148.52,-34.09
"184","NCR","NCR02",148.52,-34.09
"185","NCR","NCR07",148.52,-34.09
"186","NCR","NCR08",148.52,-34.09
"187","NCR","NCR15",148.52,-34.09
"188","NCR","NCR16",148.52,-34.09
"189","NCR","NCR19B",148.52,-34.09
"190","NCR","NCR21",148.52,-34.09
"191","NCR","NCR22B",148.52,-34.09
"192","NCR","NCR23",148.52,-34.09
"193","NCR","NCR24",148.52,-34.09
"194","NCR","NCR25",148.52,-34.09
"195","NCR","NCR26",148.52,-34.09
"196","NCR","NCR27",148.52,-34.09
"197","NCR","NCR28",148.52,-34.09
"198","NCR","NCR29",148.52,-34.09
"199","NCR","NCR30",148.52,-34.09
"200","NCR","NCR31B",148.52,-34.09
"201","NCR","NCR32",148.52,-34.09
"202","NCR","NCR33",148.52,-34.09
"203","NCR","NCR34",148.52,-34.09
"204","NCR","NCR35",148.52,-34.09
"205","NCR","NCR36",148.52,-34.09
"206","NCR","NCR37B",148.52,-34.09
"207","NCR","NCR38B",148.52,-34.09
"208","NCR","NCR39",148.52,-34.09
"209","NDU","NDU02",148.51,-32.33
"210","NDU","NDU03",148.51,-32.33
"211","NDU","NDU05",148.51,-32.33
"212","NDU","NDU07",148.51,-32.33
"213","NDU","NDU08",148.51,-32.33
"214","NDU","NDU09",148.51,-32.33
"215","NDU","NDU10",148.51,-32.33
"216","NDU","NDU11",148.51,-32.33
"217","NDU","NDU12",148.51,-32.33
"218","NDU","NDU13",148.51,-32.33
"219","NDU","NDU14",148.51,-32.33
"220","NDU","NDU15",148.51,-32.33
